ax;a y;az;gx;gy;gz;Label
0.070943;0.016592;0.107116;-0.03269578;-0.1274806;-0.05779176;0
-0.526552;0.82716;-0.732;-0.02081118;-0.1863334;0.15623998;0
0.099674;-0.109373;-0.697169;-0.02119832;-0.4445259;-0.11353576;0
0.012261;-0.275415;-0.465491;-0.03362528;-0.175538;0.07726134;0
-0.333975;0.177022;-0.34099;0.01936246;-0.0159929;0.00816218;0
0.17019;-0.157014;-0.549976;-0.00867542;-0.0706846;-0.03333382;0
0.031842;0.127368;-0.088511;0.07077382;0.19114186;0.15192788;0
-0.061793;-0.063623;0.220271;-0.03606876;-0.1683776;-0.15927652;0
0.104432;0.005002;0.059414;-0.03055702;-0.1724975;0.10731006;0
-0.06344;-0.005063;-0.181353;0.07299942;0.2916966;-0.01855568;0
0.03172;0.030805;0.097905;-0.06066736;0.18210426;-0.05342558;0
0.018788;0.026962;0.119621;0.03233308;0.03151122;0.0958269;0
0.005307;0.008906;0.08723;0.00083486;-0.2275003;-0.17142788;0
0.049959;0.013481;0.307806;-0.04003636;-0.0681928;0.13136604;0
-0.047092;-0.174704;0.119499;0.05200754;0.12143742;-0.14774578;0
-0.024644;-0.022509;-0.384666;-0.01276626;-0.1522862;0.15332902;0
-0.117669;-0.002806;0.364414;-0.02589106;-0.1547985;-0.14309204;0
-0.133163;-0.020801;-0.132126;-0.00969774;-0.1826828;0.09932312;0
0.076433;0.004941;0.090951;0.09463974;0.14445496;0.56639388;0
0.016775;0.014213;0.037637;-0.02406378;0.11563526;-113.992.658;0
0.14152;-0.041907;-0.188063;-0.10806094;-0.2622305;0.52104078;0
-0.079788;-0.139141;-0.228506;-0.02912442;-0.0413028;0.49937316;0
0.105652;-0.06527;-0.236741;-0.01366456;0.06194916;-0.68244072;0
0.057584;-0.047336;0.25986;0.16878238;0.10455302;0.53843556;0
0.089121;-0.057889;0.160491;0.00703976;0.01437176;-0.2650531;0
-0.022692;0.016592;0.145424;-0.10370932;-0.0586035;0.03219138;0
-0.01525;0.039955;0.014396;0.04063202;0.02568956;0.06534268;0
0.195444;-0.019764;0.109434;-0.00391326;0.02873234;-0.0820105;0
0.079483;-0.158173;-0.251564;0.00573092;0.00689104;0.10103444;0
0.111813;0.020435;-0.382043;0.02174978;-0.0208315;-0.14120756;0
0.120414;-0.072651;-0.774822;-0.02165696;0.01073306;0.08026408;0
-0.465613;-0.118523;-0.222772;-0.00949884;-0.0032305;-0.0614276;0
0.046848;0.038491;-0.320616;0.02306434;-0.0107162;0.0484939;0
0.010675;0.059841;0.13115;-0.0237796;-0.0278411;-0.0603408;0
0.020984;0.012505;0.126087;0.01684436;0.05750628;0.07449468;0
-0.083753;0.12761;-0.013176;0.07481552;-0.1543;0.12973116;0
0.003172;-0.0417;0.032208;0.01416896;-0.0747;-0.00455728;0
0.001342;-0.0204;-0.195566;-0.07209644;0.07398;-0.22388574;0
-0.00122;0.06137;0.19886;0.07639788;0.12479;0.32075394;0
-0.007442;-0.0671;-0.111691;-0.05174936;-0.1631;-0.1930929;0
0.053985;-0.0112;0.243146;0.00174746;-0.3528;0.0118742;0
