ax,ay,az,gx,gy,gz,label
-0.11840100,-0.03910100,0.15396400,-0.00262262,-0.18857830,-0.08047884,1
-0.04568900,-0.01860500,-0.12913700,-0.05566470,-0.12554180,0.06188312,1
0.09979600,-0.02738900,-0.23674100,0.02496390,-0.11391540,-0.00774410,1
0.07094300,0.01659200,0.10711600,-0.03269578,-0.12748060,-0.05779176,1
-0.52655200,0.82716000,-0.73200000,-0.02081118,-0.18633340,0.15623998,1
0.09967400,-0.10937300,-0.69716900,-0.02119832,-0.44452590,-0.11353576,1
0.01226100,-0.27541500,-0.46549100,-0.03362528,-0.17553800,0.07726134,1
-0.33397500,0.17702200,-0.34099000,0.01936246,-0.01599290,0.00816218,1
0.17019000,-0.15701400,-0.54997600,-0.00867542,-0.07068460,-0.03333382,1
0.03184200,0.12736800,-0.08851100,0.07077382,0.19114186,0.15192788,1
-0.06179300,-0.06362300,0.22027100,-0.03606876,-0.16837760,-0.15927652,1
0.10443200,0.00500200,0.05941400,-0.03055702,-0.17249750,0.10731006,1
-0.06344000,-0.00506300,-0.18135300,0.07299942,0.29169660,-0.01855568,1
0.03172000,0.03080500,0.09790500,-0.06066736,0.18210426,-0.05342558,1
0.01878800,0.02696200,0.11962100,0.03233308,0.03151122,0.09582690,1
0.00530700,0.00890600,0.08723000,0.00083486,-0.22750030,-0.17142788,1
0.04995900,0.01348100,0.30780600,-0.04003636,-0.06819280,0.13136604,1
-0.04709200,-0.17470400,0.11949900,0.05200754,0.12143742,-0.14774578,1
-0.02464400,-0.02250900,-0.38466600,-0.01276626,-0.15228620,0.15332902,1
-0.11766900,-0.00280600,0.36441400,-0.02589106,-0.15479850,-0.14309204,1
-0.13316300,-0.02080100,-0.13212600,-0.00969774,-0.18268280,0.09932312,1
0.07643300,0.00494100,0.09095100,0.09463974,0.14445496,0.56639388,1
0.01677500,0.01421300,0.03763700,-0.02406378,0.11563526,-1.13992658,1
0.14152000,-0.04190700,-0.18806300,-0.10806094,-0.26223050,0.52104078,1
-0.07978800,-0.13914100,-0.22850600,-0.02912442,-0.04130280,0.49937316,1
0.10565200,-0.06527000,-0.23674100,-0.01366456,0.06194916,-0.68244072,1
0.05758400,-0.04733600,0.25986000,0.16878238,0.10455302,0.53843556,1
0.08912100,-0.05788900,0.16049100,0.00703976,0.01437176,-0.26505310,1
-0.02269200,0.01659200,0.14542400,-0.10370932,-0.05860350,0.03219138,1
-0.01525000,0.03995500,0.01439600,0.04063202,0.02568956,0.06534268,1
0.19544400,-0.01976400,0.10943400,-0.00391326,0.02873234,-0.08201050,1
0.07948300,-0.15817300,-0.25156400,0.00573092,0.00689104,0.10103444,1
0.11181300,0.02043500,-0.38204300,0.02174978,-0.02083150,-0.14120756,1
0.12041400,-0.07265100,-0.77482200,-0.02165696,0.01073306,0.08026408,1
-0.46561300,-0.11852300,-0.22277200,-0.00949884,-0.00323050,-0.06142760,1
0.04684800,0.03849100,-0.32061600,0.02306434,-0.01071620,0.04849390,1
0.01067500,0.05984100,0.13115000,-0.02377960,-0.02784110,-0.06034080,1
0.02098400,0.01250500,0.12608700,0.01684436,0.05750628,0.07449468,1
-0.08375300,0.12761000,-0.01317600,0.07481552,-0.15430000,0.12973116,1
0.00317200,-0.04170000,0.03220800,0.01416896,-0.07470000,-0.00455728,1
0.00134200,-0.02040000,-0.19556600,-0.07209644,0.07398000,-0.22388574,1
-0.00122000,0.06137000,0.19886000,0.07639788,0.12479000,0.32075394,1
-0.00744200,-0.06710000,-0.11169100,-0.05174936,-0.16310000,-0.19309290,1
0.05398500,-0.01120000,0.24314600,0.00174746,-0.35280000,0.01187420,1
0.03300100,0.12621000,-0.08161800,0.04287556,-0.11670000,0.00506766,1
0.10784800,0.15207000,0.36752500,-0.05746650,-0.09810000,-0.05605314,1
0.01335900,-0.11990000,-0.09302500,0.02847728,-0.05650000,0.13597688,1
0.02671800,-0.00560000,0.11980400,-0.02408380,-0.07600000,-0.18974384,1
0.03446500,-0.00060000,-0.11132500,0.01944202,-0.03500000,0.13966264,1
0.07984900,-0.02710000,0.08979200,0.01456052,0.02215000,-0.07019480,1
-0.07435900,0.01403000,0.19861600,-0.03356470,-0.18740000,-0.00871416,1
-0.02250900,-0.05700000,-0.18885600,0.03679858,-0.18060000,0.06327360,1
0.03824700,-0.06670000,-0.01952000,-0.03584542,-0.13640000,-0.14896102,1
0.02305800,-0.00360000,0.07332200,0.06852898,-0.05410000,0.40234532,1
0.01299300,-0.17400000,-0.23363000,-0.03070392,-0.27050000,-0.44137262,1
-0.04514000,0.02647000,0.01384700,-0.09866194,-0.18760000,-0.07731542,1
0.01299300,0.10724000,0.20849800,0.12144548,0.24917000,0.38344774,1
-0.04666500,0.07662000,0.04886100,-0.06951542,-0.08640000,-0.45023576,1
0.08759600,0.04185000,0.11907200,0.02549118,0.02837000,0.22981452,1
-0.08405800,0.04569000,-0.12181700,0.01738204,0.13018000,-0.02713776,1
0.08399700,-0.03290000,-0.03714900,-0.13385710,-0.30750000,0.35523618,1
0.05551000,-0.06570000,0.00512400,-0.04473950,-0.14420000,-0.10194184,1
-0.00860100,0.02373000,0.17568000,-0.05077878,0.00351000,-0.37733930,1
-0.02641300,-0.05770000,-0.40003800,0.17005300,-0.03290000,0.49680332,1
0.13267500,-0.11600000,-0.95294200,-0.00734916,0.02236000,-0.34398364,1
-0.29078700,0.00397000,0.86882300,-0.02798926,0.09011000,0.22516572,1
-0.10894600,0.03989000,0.08716900,0.05571696,0.05427000,-0.04017260,1
0.01488400,0.15476000,-0.13438300,-0.06499662,-0.08900000,-0.13484224,1
0.04855600,-0.03350000,0.06789300,0.06786130,-0.04720000,0.17835298,1
-0.07911700,-0.00450000,0.30981900,-0.04888520,0.05332000,-0.21622406,1
-0.01738500,-0.06850000,-0.16036900,-0.04521036,0.04366000,0.13344526,1
0.06368400,-0.01180000,0.39064400,0.00287508,-0.00030000,-0.05016700,1
0.21038900,0.07216000,-0.20477700,0.02157480,-0.01620000,0.22266868,1
-0.03946700,-0.08740000,-0.28737100,-0.03597516,-0.02940000,-0.36534056,1
-0.00811300,-0.06970000,0.19416300,-0.06874946,-0.03710000,0.03779412,1
-0.08582700,0.05612000,0.00866200,0.12876864,-0.01560000,0.45279598,1
0.05008100,-0.04540000,-0.02867000,0.00765258,0.00057000,-0.47094060,1
-0.04471300,0.09120000,-0.02604700,-0.05757492,-0.01250000,0.31604534,1
-0.08826700,0.30512200,1.02449500,-0.03171792,-0.08197570,0.14244386,1
-0.06771000,0.05801100,-0.68429800,0.01117298,-0.00242400,-0.04006236,1
-0.27151100,-0.38491000,0.41303100,0.01388816,0.14653366,0.18623202,1
-0.04892200,0.06374500,-0.62933700,0.04199624,0.08587696,0.07166328,1
-0.46433200,-0.51093600,0.41583700,-0.04232722,-0.04794240,-0.09477572,1
0.37765100,-0.01293200,0.02336300,-0.01607710,0.00984724,0.11397646,1
0.01348100,0.05971900,-0.71736000,0.05635552,-0.01604070,-0.13406484,1
-0.13609100,0.34526000,-0.17940100,-0.04667286,0.00165438,0.05566808,1
0.12785600,-0.19074700,-0.55156200,-0.01152918,0.00476996,0.02559076,1
0.02104500,0.08009300,-0.53314000,0.06000930,-0.01316770,-0.03889522,1
-1.32431000,-0.45036300,-0.62396900,-0.05344872,-0.02423410,-0.02418962,1
0.06642900,0.07362700,-0.32037200,-0.05568784,0.04914780,0.00515736,1
0.02336300,0.00408700,-0.65196800,0.05653336,0.02481466,-0.03349476,1
0.27559800,-0.27120600,-0.24021800,0.04491916,-0.22388810,-0.07232992,1
1.27971900,1.34474500,1.21249700,-0.04066296,-0.28718790,-0.00062452,1
0.00378200,0.05862100,-0.23552100,-0.01653730,-0.21897900,-0.00718250,1
-0.60823100,-0.38911900,0.53789800,0.05971992,0.04087824,0.04497870,1
-0.18171900,-0.02214300,-0.15975900,-0.05511584,0.04524000,-0.21700692,1
0.36862300,0.82002300,0.98203900,0.01543516,-0.00913200,0.47396050,1
0.10199200,0.06002400,-0.43438100,0.14085864,0.10675808,0.35544704,1
-0.73559900,-0.31927400,1.04011100,-0.04041674,-0.05957980,-0.59865234,1
-0.03635600,0.02177700,-0.66044700,0.07402408,-0.13304100,0.74945728,1
0.08784000,0.15701400,-0.14823000,-0.00488644,0.03320382,0.13658996,1
0.15982000,-0.25412600,-0.36874500,-0.03233958,0.01380496,-0.18381740,1
-0.51380300,-0.27102300,1.14314000,-0.07054164,-0.04825650,0.16310190,1
0.56418900,0.47415300,0.87693600,0.02665962,0.08352838,-0.09489376,1
0.00512400,0.06838100,-0.67039000,0.03941990,-0.08786230,-0.02576392,1
0.14768100,0.11047100,0.88578100,-0.09584822,0.03509090,0.01022866,1
-0.25845700,-0.16061300,0.15524500,0.04474626,-0.07775510,-0.04665856,1
0.00158600,-0.11846200,0.11535100,0.02638844,-0.35456120,0.01139138,1
-0.01701900,0.04886100,-0.70961300,-0.03727958,-0.08551010,-0.01438450,1
0.07753100,-0.04715300,-0.75091000,0.04921176,-0.14692780,0.04801940,1
0.10046700,0.03806400,0.29951000,-0.05249400,-0.18501290,-0.07948226,1
-0.32592300,-0.33702500,0.57236300,0.01826526,0.00632450,0.15277886,1
-0.12407400,0.06386700,-0.36252300,-0.01051310,-0.02295640,-0.21562502,1
0.08180100,0.06136600,0.11102000,-0.01428856,0.09783176,0.41475824,1
-0.14755900,-0.09406200,-0.17720500,0.18941286,0.09683726,1.18872442,1
-0.32982700,-0.33177900,0.79019400,0.04457570,0.01820702,-0.85735572,1
0.04282200,-0.03910100,-0.59902000,-0.06660264,0.00282386,-0.98124260,1
0.00311100,0.01409000,-0.71906800,0.02492854,-0.01870000,-0.68220958,1
-0.42681700,-1.05110000,0.41754500,-0.02346890,0.00858000,-1.42822108,1
-0.05160600,0.01068000,-0.71638400,-0.05113368,-0.28740000,0.46322172,1
-0.96953400,0.97161000,0.48885400,0.10331594,-0.13940000,1.04768690,1
0.35556900,-0.04090000,-0.12980800,0.01633632,0.33604000,0.15122978,1
0.15689200,0.40297000,-0.27565900,-0.17526808,0.15705000,0.16252886,1
-0.01640900,0.11065000,-0.63000800,-0.15502890,0.00406000,-0.00094952,1
-0.03891800,0.03270000,-0.69363100,-0.16175302,0.05634000,-0.00725582,1
0.61152500,-0.09040000,0.36051000,-0.19243926,0.02799000,0.17635306,1
-0.67142700,0.82740000,0.68814100,-0.11209276,0.07252000,0.13324896,1
-0.03647800,0.03739000,-0.55479500,0.13364780,0.10248000,-0.11347960,1
-0.01732400,-0.00720000,-0.77787200,0.27964066,-0.01370000,-0.00049270,1
-0.02110600,-0.01790000,-0.76439100,0.16346746,-0.06370000,-0.19607796,1
0.10187000,-0.02620000,-0.73810000,0.12205050,0.05007000,-0.16672084,1
0.13035700,0.89640000,0.16860400,0.13167726,0.04841000,0.12937028,1
0.50001700,0.11206000,0.01329800,-0.10818574,0.00717000,0.13930436,1
-1.43179200,-1.13970000,0.72913300,-0.22226230,0.01217000,0.15113904,1
0.11278900,-0.34900000,-0.42663400,-0.20120594,0.03833000,-0.03096548,1
-0.00317200,-0.08340000,-0.51416900,-0.14897532,-0.00240000,0.37690484,1
0.25955500,0.06741000,-0.24332900,-0.03047954,-0.06810000,-0.05762016,1
-0.18415900,-0.03750000,0.25711500,0.07384806,0.08030000,-0.25837032,1
-0.09851500,-0.01270000,-0.62470100,0.22776962,0.09847000,0.15828124,1
-0.08527800,-0.06320000,-0.14469200,0.16394144,-0.04220000,-0.33725328,1
